timestamp,transactionType,token,amount
1680710870,DEPOSIT,ETH,10
1680710870,WITHDRAWAL,ETH,20
1680711566,DEPOSIT,ETH,298
1680711566,DEPOSIT,CEEK,834
1680711567,DEPOSIT,ETH,775
1680711567,DEPOSIT,ADA,878
1680711567,DEPOSIT,ADA,301
1680711567,DEPOSIT,ADA,246
1680711567,DEPOSIT,BTC,552
1680711568,DEPOSIT,BTC,549
1680711568,DEPOSIT,CEEK,505
1680711568,DEPOSIT,ETH,255
1680711568,DEPOSIT,ETH,957
1680711568,DEPOSIT,BTC,221
1680711569,DEPOSIT,CEEK,247
1680711569,DEPOSIT,BTC,818
1680711569,DEPOSIT,BTC,827
1680711569,DEPOSIT,CEEK,446
1680711569,DEPOSIT,CEEK,362
1680711570,DEPOSIT,ETH,750
1680711570,DEPOSIT,CEEK,829
1680711570,DEPOSIT,ADA,652
1680711570,DEPOSIT,ADA,165
1680711570,DEPOSIT,BTC,977
1680711571,DEPOSIT,CEEK,448
1680711571,DEPOSIT,BTC,354
1680711571,DEPOSIT,ADA,816
1680711571,DEPOSIT,BTC,673
1680711571,DEPOSIT,ADA,395
1680711572,DEPOSIT,ADA,485
1680711572,DEPOSIT,BTC,979
1680711572,DEPOSIT,ADA,385
1680711572,DEPOSIT,ADA,680
1680711572,DEPOSIT,BTC,760
1680711573,DEPOSIT,BTC,625
1680711573,DEPOSIT,ETH,871
1680711573,DEPOSIT,CEEK,303
1680711573,DEPOSIT,ADA,905
1680711573,DEPOSIT,ETH,443
1680711574,DEPOSIT,ETH,136
1680711574,DEPOSIT,ETH,817
1680711574,DEPOSIT,BTC,900
1680711574,DEPOSIT,ETH,541
1680711574,DEPOSIT,ADA,150
1680711575,DEPOSIT,CEEK,587
1680711575,DEPOSIT,ETH,139
1680711575,DEPOSIT,ETH,426
1680711575,DEPOSIT,BTC,546
1680711575,DEPOSIT,BTC,114
1680711576,DEPOSIT,BTC,987
1680711576,DEPOSIT,ADA,716
1680711576,DEPOSIT,BTC,102
1680711576,DEPOSIT,BTC,525
1680711576,DEPOSIT,BTC,823
1680711577,DEPOSIT,ADA,404
1680711577,DEPOSIT,ETH,859
1680711577,DEPOSIT,CEEK,300
1680711577,DEPOSIT,CEEK,271
1680711577,DEPOSIT,BTC,673
1680711578,DEPOSIT,ADA,268
1680711578,DEPOSIT,ETH,928
1680711578,DEPOSIT,CEEK,895
1680711578,DEPOSIT,ADA,159
1680711578,DEPOSIT,ETH,836
1680711579,DEPOSIT,BTC,977
1680711579,DEPOSIT,BTC,621
1680711579,DEPOSIT,BTC,409
1680711579,DEPOSIT,CEEK,411
1680711579,DEPOSIT,ADA,962
1680711580,DEPOSIT,ETH,112
1680711580,DEPOSIT,ADA,213
1680711580,DEPOSIT,CEEK,692
1680711580,DEPOSIT,ETH,945
1680711580,DEPOSIT,ETH,425
1680711581,DEPOSIT,ETH,216
1680711581,DEPOSIT,CEEK,461
1680711581,DEPOSIT,BTC,943
1680711581,DEPOSIT,CEEK,851
1680711581,DEPOSIT,ADA,631
1680711582,DEPOSIT,CEEK,237
1680711582,DEPOSIT,ETH,478
1680711582,DEPOSIT,ADA,653
1680711582,DEPOSIT,CEEK,876
1680711582,DEPOSIT,ETH,535
1680711583,DEPOSIT,BTC,284
1680711583,DEPOSIT,CEEK,145
1680711583,DEPOSIT,BTC,706
1680711583,DEPOSIT,ETH,428
1680711583,DEPOSIT,ETH,902
1680711584,DEPOSIT,BTC,291
1680711584,DEPOSIT,BTC,638
1680711584,DEPOSIT,ADA,789
1680711584,DEPOSIT,ETH,975
1680711584,DEPOSIT,ADA,698
1680711585,DEPOSIT,CEEK,408
1680711585,DEPOSIT,ADA,118
1680711585,DEPOSIT,BTC,710
1680711585,DEPOSIT,ADA,994
1680711585,DEPOSIT,CEEK,895
1680711586,DEPOSIT,ADA,543
1680711586,DEPOSIT,CEEK,497
1680711586,DEPOSIT,ETH,384
1680711586,DEPOSIT,ADA,141
1680711586,DEPOSIT,BTC,244
1680711587,DEPOSIT,BTC,309
1680711587,DEPOSIT,ETH,552
1680711587,DEPOSIT,ETH,382
1680711587,DEPOSIT,BTC,854
1680711587,DEPOSIT,CEEK,434
1680711588,DEPOSIT,ADA,878
1680711588,DEPOSIT,ADA,554
1680711588,DEPOSIT,ADA,271
1680711588,DEPOSIT,ETH,989
1680711588,DEPOSIT,ADA,510
1680711589,DEPOSIT,BTC,163
1680711589,DEPOSIT,BTC,644
1680711589,DEPOSIT,ADA,349
1680711589,DEPOSIT,CEEK,947
1680711590,DEPOSIT,ADA,658
1680711590,DEPOSIT,BTC,631
1680711590,DEPOSIT,ADA,595
1680711590,DEPOSIT,CEEK,883
1680711590,DEPOSIT,BTC,636
1680711591,DEPOSIT,ETH,174
1680711591,DEPOSIT,BTC,914
1680711591,DEPOSIT,ETH,471
1680711591,DEPOSIT,BTC,498
1680711591,DEPOSIT,CEEK,552
1680711592,DEPOSIT,ETH,349
1680711592,DEPOSIT,CEEK,137
1680711592,DEPOSIT,ETH,865
1680711592,DEPOSIT,ETH,183
1680711592,DEPOSIT,ADA,254
1680711593,DEPOSIT,ETH,382
1680711593,DEPOSIT,ADA,399
1680711593,DEPOSIT,ETH,931
1680711593,DEPOSIT,CEEK,382
1680711593,DEPOSIT,BTC,531
1680711594,DEPOSIT,BTC,409
1680711594,DEPOSIT,BTC,104
1680711594,DEPOSIT,ADA,773
1680711594,DEPOSIT,ADA,457
1680711594,DEPOSIT,CEEK,283
1680711595,DEPOSIT,ETH,807
1680711595,DEPOSIT,ETH,634
1680711595,DEPOSIT,BTC,755
1680711595,DEPOSIT,CEEK,144
1680711595,DEPOSIT,ADA,723
1680711596,DEPOSIT,ETH,376
1680711596,DEPOSIT,ETH,646
1680711596,DEPOSIT,ADA,917
1680711596,DEPOSIT,ADA,381
1680711596,DEPOSIT,CEEK,818
1680711597,DEPOSIT,ADA,588
1680711597,DEPOSIT,ETH,538
1680711597,DEPOSIT,BTC,266
1680711597,DEPOSIT,ETH,917
1680711597,DEPOSIT,ADA,978
1680711598,DEPOSIT,BTC,104
1680711598,DEPOSIT,ADA,432
1680711598,DEPOSIT,BTC,108
1680711598,DEPOSIT,ETH,213
1680711598,DEPOSIT,ADA,279
1680711599,DEPOSIT,ADA,363
